Datetime,MoLS,Neural Network,mols_run_0,mols_run_1,mols_run_2,mols_run_3,mols_run_4,mols_run_5,mols_run_6,mols_run_7,mols_run_8,mols_run_9,mols_run_10,mols_run_11,mols_run_12,mols_run_13,mols_run_14,mols_run_15,mols_run_16,mols_run_17,mols_run_18,mols_run_19,mols_run_20,mols_run_21,mols_run_22,mols_run_23,mols_run_24,mols_run_25,mols_run_26,mols_run_27,mols_run_28,mols_run_29,mols_run_30,mols_run_31,mols_run_32,mols_run_33,mols_run_34,mols_run_35,mols_run_36,mols_run_37,mols_run_38,mols_run_39,mols_run_40,mols_run_41,mols_run_42,mols_run_43,mols_run_44,mols_run_45,mols_run_46,mols_run_47,mols_run_48,mols_run_49,weekly_mean,weekly_var
2013-08-31,12895.0,13722.392366,7.0,5.0,6.0,8.0,3.0,5.0,7.0,6.0,8.0,7.0,6.0,7.0,8.0,7.0,4.0,11.0,9.0,5.0,5.0,7.0,9.0,7.0,8.0,6.0,6.0,5.0,2.0,3.0,4.0,10.0,5.0,4.0,3.0,10.0,8.0,8.0,3.0,6.0,3.0,3.0,4.0,8.0,6.0,6.0,6.0,2.0,8.0,4.0,3.0,6.0,5.94,4.792244897959184
2013-09-07,14498.2,13874.600951,4.0,7.0,7.0,10.0,10.0,7.0,2.0,8.0,8.0,9.0,5.0,6.0,11.0,6.0,11.0,10.0,8.0,5.0,9.0,11.0,11.0,12.0,3.0,9.0,11.0,4.0,6.0,9.0,8.0,11.0,5.0,5.0,10.0,6.0,7.0,12.0,6.0,8.0,3.0,8.0,12.0,10.0,9.0,13.0,7.0,4.0,11.0,6.0,4.0,6.0,7.8,7.714285714285715
2013-09-14,18714.7,16266.473061,4.0,10.0,12.0,4.0,12.0,14.0,7.0,9.0,9.0,10.0,11.0,6.0,16.0,10.0,7.0,9.0,10.0,7.0,7.0,10.0,13.0,6.0,9.0,6.0,5.0,6.0,12.0,13.0,13.0,9.0,7.0,3.0,8.0,4.0,10.0,8.0,8.0,3.0,10.0,8.0,11.0,6.0,12.0,11.0,7.0,7.0,13.0,8.0,8.0,7.0,8.7,8.867346938775512
2013-09-21,23231.8,19811.504524,8.0,10.0,12.0,11.0,7.0,17.0,10.0,11.0,20.0,12.0,11.0,13.0,13.0,15.0,16.0,19.0,10.0,10.0,7.0,13.0,12.0,13.0,11.0,14.0,14.0,13.0,18.0,14.0,19.0,15.0,13.0,10.0,10.0,10.0,13.0,11.0,10.0,12.0,21.0,8.0,9.0,13.0,8.0,7.0,12.0,18.0,8.0,16.0,15.0,13.0,12.5,12.091836734693878
2013-09-28,24059.5,22074.811694,11.0,15.0,13.0,13.0,8.0,10.0,9.0,7.0,13.0,9.0,6.0,11.0,9.0,12.0,8.0,8.0,11.0,13.0,10.0,22.0,12.0,14.0,10.0,12.0,13.0,5.0,15.0,11.0,15.0,16.0,17.0,16.0,14.0,9.0,8.0,18.0,15.0,10.0,12.0,11.0,13.0,10.0,10.0,12.0,15.0,13.0,14.0,15.0,11.0,18.0,12.04,11.059591836734693
2013-10-05,22246.6,24835.97915,14.0,13.0,10.0,17.0,13.0,7.0,8.0,11.0,12.0,9.0,11.0,21.0,8.0,10.0,11.0,10.0,9.0,9.0,12.0,11.0,6.0,8.0,16.0,6.0,10.0,11.0,11.0,7.0,10.0,9.0,12.0,7.0,7.0,9.0,14.0,16.0,12.0,8.0,5.0,12.0,11.0,5.0,16.0,11.0,5.0,12.0,5.0,8.0,6.0,8.0,10.18,11.66081632653061
2013-10-12,21620.4,25293.544239,10.0,11.0,11.0,8.0,13.0,15.0,11.0,10.0,13.0,10.0,6.0,15.0,7.0,12.0,3.0,8.0,13.0,8.0,14.0,9.0,14.0,6.0,8.0,9.0,8.0,8.0,13.0,12.0,5.0,15.0,15.0,13.0,5.0,9.0,13.0,9.0,9.0,9.0,13.0,6.0,14.0,11.0,7.0,13.0,3.0,8.0,10.0,17.0,11.0,7.0,10.14,10.98
2013-10-19,22566.8,26095.256918,10.0,9.0,13.0,15.0,9.0,12.0,10.0,8.0,11.0,13.0,8.0,11.0,18.0,12.0,8.0,8.0,7.0,15.0,12.0,8.0,12.0,11.0,12.0,12.0,16.0,7.0,10.0,13.0,10.0,13.0,9.0,12.0,5.0,10.0,13.0,10.0,13.0,6.0,15.0,11.0,14.0,9.0,12.0,12.0,11.0,8.0,15.0,7.0,14.0,10.0,10.98,7.65265306122449
2013-10-26,23688.8,27496.529858,16.0,15.0,6.0,13.0,18.0,9.0,15.0,6.0,8.0,8.0,11.0,15.0,7.0,6.0,15.0,14.0,12.0,10.0,12.0,8.0,6.0,20.0,16.0,6.0,9.0,15.0,10.0,16.0,14.0,7.0,8.0,19.0,5.0,10.0,16.0,6.0,11.0,12.0,15.0,13.0,14.0,10.0,15.0,4.0,13.0,14.0,9.0,12.0,8.0,10.0,11.34,15.943265306122452
2013-11-02,24281.4,28873.939116999998,11.0,8.0,12.0,6.0,10.0,9.0,7.0,10.0,14.0,7.0,16.0,15.0,7.0,5.0,14.0,11.0,13.0,9.0,16.0,19.0,12.0,4.0,18.0,9.0,16.0,6.0,11.0,7.0,13.0,12.0,8.0,13.0,13.0,6.0,15.0,16.0,7.0,9.0,8.0,14.0,8.0,10.0,8.0,9.0,10.0,16.0,14.0,15.0,9.0,7.0,10.84,13.647346938775508
